Date,Open,High,Low,Close,Adj Close,Volume
2010-12-31,11.533928871154785,11.552857398986816,11.475357055664062,11.520000457763672,9.86428165435791,193508000
2011-01-03,11.630000114440918,11.795000076293945,11.601428985595703,11.770357131958008,10.078653335571289,445138400
2011-01-04,11.872857093811035,11.875,11.719642639160156,11.831786155700684,10.131251335144043,309080800
2011-01-05,11.76964282989502,11.940713882446289,11.76785659790039,11.928570747375488,10.21412467956543,255519600
2011-01-06,11.954285621643066,11.973214149475098,11.889286041259766,11.918929100036621,10.205869674682617,300428800
2011-01-07,11.928214073181152,12.012499809265137,11.853570938110352,12.00428581237793,10.278959274291992,311931200
2011-01-10,12.10107135772705,12.258213996887207,12.041786193847656,12.23035717010498,10.472537994384766,448560000
2011-01-11,12.317143440246582,12.319999694824219,12.123929023742676,12.20142936706543,10.447768211364746,444108000
2011-01-12,12.258929252624512,12.301071166992188,12.214285850524902,12.300713539123535,10.532781600952148,302590400
2011-01-13,12.327142715454102,12.380000114440918,12.280357360839844,12.34571361541748,10.571313858032227,296780400
2011-01-14,12.353214263916016,12.445713996887207,12.30142879486084,12.445713996887207,10.656942367553711,308840000
2011-01-18,11.768570899963379,12.312856674194336,11.64285659790039,12.166070938110352,10.417494773864746,1880998000
2011-01-19,12.441070556640625,12.449999809265137,12.031429290771484,12.101428985595703,10.362140655517578,1135612800
2011-01-20,12.01535701751709,12.08214282989502,11.789999961853027,11.881428718566895,10.173760414123535,764789200
2011-01-21,11.920356750488281,11.960000038146973,11.665356636047363,11.668571472167969,9.991493225097656,754401200
2011-01-24,11.673929214477539,12.051786422729492,11.668571472167969,12.051786422729492,10.319633483886719,574683200
2011-01-25,12.011786460876465,12.194286346435547,11.948928833007812,12.192856788635254,10.44042682647705,546868000
2011-01-26,12.248571395874023,12.342857360839844,12.196429252624512,12.280357360839844,10.515353202819824,506875600
2011-01-27,12.277856826782227,12.310357093811035,12.243928909301758,12.257499694824219,10.495779991149902,285026000
2011-01-28,12.291786193847656,12.300000190734863,11.911786079406738,12.003570556640625,10.278347969055176,592057200
2011-01-31,11.992856979370117,12.144286155700684,11.939286231994629,12.118571281433105,10.376819610595703,377246800
2011-02-01,12.189286231994629,12.344642639160156,12.177857398986816,12.322500228881836,10.551437377929688,426633200
2011-02-02,12.301786422729492,12.33035659790039,12.26964282989502,12.29714298248291,10.529725074768066,258955200
2011-02-03,12.278571128845215,12.294285774230957,12.091071128845215,12.265713691711426,10.502814292907715,393797600
2011-02-04,12.272856712341309,12.382143020629883,12.268214225769043,12.375,10.596391677856445,321840400
2011-02-07,12.424642562866211,12.616070747375488,12.415714263916016,12.567143440246582,10.760921478271484,485021600
2011-02-08,12.631428718566895,12.697142601013184,12.576786041259766,12.685713768005371,10.862448692321777,381040800
2011-02-09,12.685357093811035,12.821429252624512,12.673929214477539,12.791428565979004,10.952967643737793,482745200
2011-02-10,12.76392936706543,12.85714340209961,12.428570747375488,12.662142753601074,10.842265129089355,928550000
2011-02-11,12.66964340209961,12.778571128845215,12.626428604125977,12.744643211364746,10.9129056930542,367572800
2011-02-14,12.742500305175781,12.838570594787598,12.739643096923828,12.82785701751709,10.984162330627441,310416400
2011-02-15,12.828213691711426,12.856071472167969,12.76964282989502,12.853570938110352,11.006179809570312,284174800
2011-02-16,12.885713577270508,13.032142639160156,12.875,12.968929290771484,11.104959487915039,481157600
2011-02-17,12.758929252624512,12.866786003112793,12.732856750488281,12.796428680419922,10.957250595092773,530583200
2011-02-18,12.811071395874023,12.839285850524902,12.482856750488281,12.520000457763672,10.720552444458008,816057200
2011-02-22,12.219642639160156,12.335714340209961,12.061429023742676,12.09321403503418,10.355107307434082,872555600
2011-02-23,12.098929405212402,12.308570861816406,12.09321403503418,12.236429214477539,10.477741241455078,671854400
2011-02-24,12.286429405212402,12.326786041259766,12.084643363952637,12.24571418762207,10.485688209533691,499900800
2011-02-25,12.330714225769043,12.443928718566895,12.314286231994629,12.434286117553711,10.647159576416016,380018800
2011-02-28,12.544285774230957,12.680356979370117,12.539999961853027,12.614643096923828,10.801592826843262,403074000
2011-03-01,12.695357322692871,12.704285621643066,12.417142868041992,12.475357055664062,10.682326316833496,456136800
2011-03-02,12.498571395874023,12.655357360839844,12.442856788635254,12.575714111328125,10.768259048461914,602590800
2011-03-03,12.756786346435547,12.849642753601074,12.71142864227295,12.841428756713867,10.995783805847168,500788400
2011-03-04,12.85964298248291,12.867500305175781,12.776785850524902,12.85714340209961,11.009241104125977,453266800
2011-03-07,12.907142639160156,12.916786193847656,12.546786308288574,12.691429138183594,10.867341995239258,546123200
2011-03-08,12.6753568649292,12.764286041259766,12.58035659790039,12.705714225769043,10.879575729370117,356316800
2011-03-09,12.667499542236328,12.670000076293945,12.521429061889648,12.588213920593262,10.778964042663574,453306000
2011-03-10,12.468570709228516,12.491786003112793,12.317856788635254,12.381071090698242,10.60158920288086,507539200
2011-03-11,12.333213806152344,12.582857131958008,12.321429252624512,12.571070671081543,10.764284133911133,471080400
2011-03-14,12.613571166992188,12.731429100036621,12.546786308288574,12.627142906188965,10.812295913696289,435957200
2011-03-15,12.217857360839844,12.422857284545898,12.146429061889648,12.336786270141602,10.563671112060547,721081200
2011-03-16,12.214285850524902,12.25,11.652142524719238,11.786070823669434,10.092110633850098,1162011200
2011-03-17,12.029643058776855,12.128929138183594,11.809286117553711,11.95142936706543,10.2337007522583,659422400
2011-03-18,12.040356636047363,12.078571319580078,11.785714149475098,11.809642791748047,10.112293243408203,753214000
